experiment,seed,rep,m,n,rank,theta,noise_sigma,mp_edge,top_sv,second_sv,detectable_rank,stable_rank,effective_rank,left_overlap,right_overlap,mean_overlap
bbp,7,1,128,128,1,2.0,1.0,2.0,2.380518078668952,1.9040333422591282,1,22.597031674801666,76.05637731097875,0.7595999791312463,0.7613117387786477,0.760455858954947
bbp,7,2,128,128,1,2.0,1.0,2.0,2.5924060208107833,1.9602300577046747,1,20.0101157274918,75.02537332926008,0.7210542946222392,0.7358058025704448,0.728430048596342
bbp,7,3,128,128,1,2.0,1.0,2.0,2.440521743883556,1.9284350181731598,1,22.064954943396497,75.11780549183801,0.768609736276292,0.7090100505789324,0.7388098934276122
bbp,7,4,128,128,1,2.0,1.0,2.0,2.4612192685521816,2.0620063750725373,2,21.711115786972222,75.21801489757537,0.7228293134042352,0.7215187769603109,0.722174045182273
bbp,7,5,128,128,1,2.0,1.0,2.0,2.5947067444074032,1.950889027234247,1,20.027308599503236,75.43934455239098,0.7778092448199337,0.8173160428799633,0.7975626438499486
bbp,7,6,128,128,1,2.0,1.0,2.0,2.457329003803544,1.9237298200970518,1,21.99613091037525,76.14029396310684,0.7895078669699395,0.7709040208964762,0.7802059439332079
bbp,7,7,128,128,1,2.0,1.0,2.0,2.4766268090275227,1.9630824955541113,1,21.434966707562165,75.83684093001142,0.7990633152399318,0.793181002989637,0.7961221591147845
bbp,7,8,128,128,1,2.0,1.0,2.0,2.5586807582646536,1.925963522215504,1,20.24238788593822,75.36632375547013,0.7668022459744147,0.7945692968914362,0.7806857714329254
bbp,7,9,128,128,1,2.0,1.0,2.0,2.3706457887184027,1.9841908365811756,1,23.240431360182395,75.87546953072055,0.7099984437408308,0.7353396539523124,0.7226690488465716
bbp,7,0,128,128,1,2.5,1.0,2.0,2.947685326728172,1.910442241265811,1,15.456834513301514,72.8022001743346,0.8764143731193873,0.8422973543509704,0.8593558637351788
bbp,7,1,128,128,1,2.5,1.0,2.0,2.869337386783304,1.9579959337327686,1,16.105885285457116,74.22308168724032,0.8466198952075192,0.8513225815274664,0.8489712383674928
bbp,7,2,128,128,1,2.5,1.0,2.0,2.8581019915804853,1.9626144849239475,1,16.2172727963296,74.42883751535193,0.8404741413106903,0.8240883255407483,0.8322812334257192
bbp,7,3,128,128,1,2.5,1.0,2.0,3.0667677355037544,1.9532421258164125,1,14.282289080796462,73.34141491957253,0.8381765546280656,0.8726510655423853,0.8554138100852254
bbp,7,4,128,128,1,2.5,1.0,2.0,2.8376746886674566,1.9711405983287815,1,16.763762894073075,73.91719562925886,0.8136103635480195,0.8083168365606912,0.8109636000543554
bbp,7,5,128,128,1,2.5,1.0,2.0,2.84047618272837,1.973808233478186,1,16.673326557480365,73.29584792356422,0.8040442853793456,0.8379049955889031,0.8209746404841243
bbp,7,6,128,128,1,2.5,1.0,2.0,2.7950459555382285,1.938519559554901,1,17.06786770587387,74.29380537267734,0.8464268032622936,0.8374647274475302,0.8419457653549118
bbp,7,7,128,128,1,2.5,1.0,2.0,3.010417805830537,1.9438869144910842,1,15.149191738830506,73.45845049635182,0.8455205026729293,0.8463016804517615,0.8459110915623453
bbp,7,8,128,128,1,2.5,1.0,2.0,2.9404046647585997,1.942296318462877,1,15.374072092079041,73.85488037395577,0.8227754134681531,0.8612523095618775,0.8420138615150152
bbp,7,9,128,128,1,2.5,1.0,2.0,2.7728102997888495,1.9648861086859308,1,17.002189237145252,73.64355184470217,0.8156550673835975,0.8459320934867649,0.8307935804351811
bbp,7,0,128,128,1,3.0,1.0,2.0,3.390816925123509,1.9467781262223758,1,11.838711934250249,71.11459333112437,0.8766598873475135,0.8819273175364366,0.8792936024419751
bbp,7,1,128,128,1,3.0,1.0,2.0,3.4910581758743215,1.9943259675956266,1,11.696463665149652,70.70249462142849,0.8879397113228817,0.9056963314714458,0.8968180213971637
bbp,7,2,128,128,1,3.0,1.0,2.0,3.3141586515980075,2.033987946415237,2,12.372150093902691,71.63392231117712,0.8766015254649161,0.8888808471665527,0.8827411863157344
bbp,7,3,128,128,1,3.0,1.0,2.0,3.3395018943151142,1.9315398872020835,1,12.355314383226245,71.23442242716153,0.8906116032461465,0.9026170006266054,0.8966143019363759
bbp,7,4,128,128,1,3.0,1.0,2.0,3.3873641416139444,1.9753397420696477,1,12.00432582932775,71.01209659129123,0.8931507300189215,0.9145223114013942,0.9038365207101579
bbp,7,5,128,128,1,3.0,1.0,2.0,3.3274849358674485,1.9562344955571613,1,12.528925199298925,71.46837374101152,0.9131442709266437,0.9125392306332102,0.9128417507799269
bbp,7,6,128,128,1,3.0,1.0,2.0,3.403835704630584,1.9586011606198819,1,11.929936095313895,71.45949608989199,0.8761519075520003,0.9033093352200036,0.8897306213860019
bbp,7,7,128,128,1,3.0,1.0,2.0,3.2786085122903392,1.9577364711577006,1,12.774819585543758,72.37299632567631,0.9003486392129556,0.8896712891213271,0.8950099641671414
bbp,7,8,128,128,1,3.0,1.0,2.0,3.265004207411218,1.9333293776350022,1,12.467789300223606,71.24874092184407,0.8728379178961682,0.8815085791513995,0.8771732485237838
bbp,7,9,128,128,1,3.0,1.0,2.0,3.3876723576636825,1.9479580812276498,1,12.048896551921825,71.41586980162025,0.8956489969103812,0.8917052464827545,0.8936771216965679
