experiment,seed,rep,overlap,conflict_fraction,rank,single_a_loss,single_b_loss,merge_a_loss,merge_b_loss,mean_single_loss,mean_merge_loss,merge_degradation,forgetting_merge,edge_a,edge_b,detectable_rank_a,detectable_rank_b,spectral_interference,signed_task_inner,conflict_score
merge_conflict,41,7,0.1,0.25,8,0.0016263301304418228,0.00163364423574212,0.08271338944510759,0.08379763603179083,0.0016299871830919713,0.08325551273844921,0.08162552555535724,0.0793814224522873,0.8203074496377087,0.8222446901733338,6,6,0.0018943918083859194,-0.023117445369208078,0.023117445369208078
merge_conflict,41,0,0.1,0.5,8,0.0016080916586825183,0.0016212264498413446,0.08738001745754412,0.08894743384458105,0.0016146590542619314,0.08816372565106259,0.08654906659680066,0.07569984353818962,0.8240832827326363,0.8097369955218339,6,6,0.001911507194039102,-0.07409460131543845,0.07409460131543845
merge_conflict,41,1,0.1,0.5,8,0.001604691051671872,0.0015942320892302624,0.08809878871329008,0.08802662673318666,0.0015994615704510672,0.08806270772323838,0.0864632461527873,0.07589828226510117,0.8243056536574052,0.8192870320673052,6,6,0.00192742876553375,-0.07249392285909753,0.07249392285909753
merge_conflict,41,2,0.1,0.5,8,0.0016164148950022297,0.0016117386572493799,0.08710446129988998,0.08645835315733523,0.0016140767761258048,0.0867814072286126,0.0851673304524868,0.07461842460197896,0.8121377186546709,0.8182166216607801,6,6,0.0019066226765624592,-0.07398701294497455,0.07398701294497455
merge_conflict,41,3,0.1,0.5,8,0.0016024405503831517,0.0015882263564119018,0.0878818907761442,0.08792520940958105,0.0015953334533975268,0.08790355009286263,0.0863082166394651,0.07604228431689411,0.8134972099839429,0.8232615801744131,6,6,0.0019152301148971592,-0.07287353283888746,0.07287353283888746
merge_conflict,41,4,0.1,0.5,8,0.0015685488575711676,0.0016033770024039206,0.08764202340056318,0.08580240903072689,0.0015859629299875442,0.08672221621564503,0.08513625328565749,0.07455122920398001,0.8089887999322947,0.816893609873819,6,6,0.0019124586809399474,-0.07415706745544975,0.07415706745544975
merge_conflict,41,5,0.1,0.5,8,0.00160452961548158,0.0016103286705208071,0.08777265866102672,0.08813831782027415,0.0016074291430011934,0.08795548824065044,0.08634805909764925,0.0759937432946492,0.8118283473471934,0.8060597898423864,6,6,0.0019050115139428651,-0.07293758277956607,0.07293758277956607
merge_conflict,41,6,0.1,0.5,8,0.0015704265126252252,0.0016016100949745556,0.08823638446522276,0.0869939230593564,0.0015860183037998904,0.08761515376228958,0.08602913545848968,0.07547391332045689,0.8219796405032072,0.8178419639543671,6,6,0.0019016517313199047,-0.07234266488282916,0.07234266488282916
merge_conflict,41,7,0.1,0.5,8,0.0016059754696250384,0.0016040233074580692,0.08784673621136525,0.08614649699564941,0.0016049993885415537,0.08699661660350733,0.08539161721496577,0.07451981291282768,0.8124334552924182,0.8453919490511876,6,6,0.0019225475489425825,-0.0754153373688364,0.0754153373688364
merge_conflict,41,0,0.1,0.75,8,0.001618092487196722,0.0016217050766890624,0.08725930846032058,0.09002768061723765,0.0016198987819428922,0.08864349453877912,0.08702359575683623,0.07367970852575999,0.8150601302151261,0.818137115888796,6,6,0.0019048129696426224,-0.09267039362032582,0.09267039362032582
merge_conflict,41,1,0.1,0.75,8,0.0015697866893391512,0.0015442274872040807,0.08860129205050804,0.08836098759123054,0.001557007088271616,0.08848113982086929,0.08692413273259768,0.0732249688595085,0.8244873064976007,0.8493584138175503,6,6,0.001940125213814763,-0.09291753248446165,0.09291753248446165
merge_conflict,41,2,0.1,0.75,8,0.0016233884375532965,0.0016138052418635438,0.08891416406332052,0.08772200101721034,0.0016185968397084201,0.08831808254026544,0.08669948570055702,0.07391813360728854,0.8214638925098757,0.8087341106717251,6,6,0.001922970776597174,-0.09414154484879982,0.09414154484879982
merge_conflict,41,3,0.1,0.75,8,0.0016106908011298562,0.0015746169872974598,0.08779472317812297,0.09072882949270687,0.0015926538942136578,0.08926177633541492,0.08766912244120126,0.07371497788404066,0.8161436850349214,0.8116378914911286,6,6,0.0019156610275729918,-0.09368431379275242,0.09368431379275242
merge_conflict,41,4,0.1,0.75,8,0.0015957755971694612,0.0016029220265952305,0.08884750891412894,0.088809266622871,0.0015993488118823459,0.08882838776849997,0.08722903895661763,0.07382113899996501,0.8023137041897938,0.8093682488177193,6,6,0.0019335011935995177,-0.0931283475455463,0.0931283475455463
merge_conflict,41,5,0.1,0.75,8,0.0016094963033273606,0.0015851618561391369,0.08979359898793472,0.0901140750891533,0.0015973290797332488,0.08995383703854401,0.08835650795881077,0.07496146020142544,0.8132344588338699,0.8165460562914436,6,6,0.0018818326114669426,-0.09172666512664704,0.09172666512664704
merge_conflict,41,6,0.1,0.75,8,0.0015986592915630336,0.0016037159094097436,0.08953190181694089,0.0865633507304017,0.0016011876004863885,0.0880476262736713,0.08644643867318491,0.07298475039268387,0.8158438285570784,0.8234880496306274,6,6,0.001938288026429097,-0.09432314065499033,0.09432314065499033
merge_conflict,41,7,0.1,0.75,8,0.0015843715019140563,0.0015724868160499016,0.0893378412069016,0.08919011520985677,0.001578429158981979,0.08926397820837918,0.08768554904939721,0.07427968344418531,0.8144926678494309,0.8169360637243113,6,6,0.0018954652181335538,-0.09010932348819425,0.09010932348819425
merge_conflict,41,0,0.1,1.0,8,0.0016054774577449005,0.001585773949791762,0.08846881679886649,0.08997694636168743,0.0015956257037683312,0.08922288158027697,0.08762725587650864,0.0732495621997197,0.8133832223839783,0.80327541513172,6,6,0.0019113850509501643,-0.09798285811855165,0.09798285811855165
