target,predictor,n,r2_log2_target,spearman,rmse_log2
recovery_rank_0.7,predicted_rank_detectable,48,0.6928290748310062,0.794977763820724,0.619217549496981
recovery_rank_0.7,gradient_stable_rank,48,0.6339655349677138,0.7357233738414806,0.6759494099328481
recovery_rank_0.8,true_k_strong,48,0.8353294641218044,0.9082076748186648,0.6211884552032243
recovery_rank_0.8,gradient_effective_rank,48,0.7788358712584132,0.8617143642815196,0.719900989972074
recovery_rank_0.8,gradient_detectable_rank,48,0.653327397770507,0.7892656575425556,0.9013120691171356
recovery_rank_0.8,predicted_rank_detectable,48,0.6385680349992033,0.7925551034284009,0.9202984822643304
recovery_rank_0.8,gradient_stable_rank,48,0.6276064353331947,0.7614095736753416,0.934149767455141
recovery_rank_0.85,true_k_strong,44,0.7302310123350155,0.8252763121205057,0.8521261070009293
recovery_rank_0.85,gradient_effective_rank,44,0.6542632390921646,0.7807827564735943,0.9646741466635663
recovery_rank_0.85,gradient_detectable_rank,44,0.5810820606779197,0.7402091565417424,1.0618724159676896
recovery_rank_0.85,predicted_rank_detectable,44,0.550403224476903,0.7314547043319074,1.100067803425638
recovery_rank_0.85,gradient_stable_rank,44,0.4464072634499582,0.6346193055559557,1.2206834367557244
recovery_rank_0.9,true_k_strong,39,0.6929693254799689,0.8134480162002055,0.9627803458438399
recovery_rank_0.9,gradient_effective_rank,39,0.6420880619898715,0.7670540722416791,1.0394998352683937
recovery_rank_0.9,gradient_detectable_rank,39,0.618526721534113,0.7581406370117173,1.0731696785311755
recovery_rank_0.9,predicted_rank_detectable,39,0.6038366162751488,0.7620212752475801,1.0936377655204645
recovery_rank_0.9,gradient_stable_rank,39,0.4670472302078498,0.6572548216757506,1.2684714431269766
recovery_rank_0.95,gradient_effective_rank,24,0.3030973084071581,0.6437464261521219,1.4555190780000067
recovery_rank_0.95,true_k_strong,24,0.28000374810136375,0.573252755845384,1.4794386117822325
recovery_rank_0.95,gradient_detectable_rank,24,0.278115080223586,0.5862176487810352,1.4813777456216533
recovery_rank_0.95,predicted_rank_detectable,24,0.2551509027808285,0.5566905905765067,1.5047556379407687
recovery_rank_0.95,gradient_stable_rank,24,0.19222302817627157,0.5657702589100205,1.567030918240317
