target_estimand,target_estimand_version,target_reference,target_denominator,analysis_plan_version,analysis_pair_role,target_transform,predictor_transform,target,target_role,predictor,n,r2_log2_target,spearman,rmse_log2,source_run_id,source_run_path,condition,seed
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),near_best_rank_gap_0.05,useful_rank,true_k_strong,48,0.723128748725892,0.8515646852820177,0.7184214297965548,20260622_142318_stage4_hard_s109,source_runs/20260622_142318_stage4_hard_s109,hard_knee,109
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,primary_pair,log2(rank),log2(1+s),near_best_rank_gap_0.1,useful_rank,gradient_effective_rank,48,0.682057237164076,0.8151086219482684,0.6170339850092428,20260622_142318_stage4_hard_s109,source_runs/20260622_142318_stage4_hard_s109,hard_knee,109
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),near_best_rank_gap_0.2,useful_rank,gradient_effective_rank,48,0.7903324248384733,0.8673616803824521,0.3891356859260052,20260622_142318_stage4_hard_s109,source_runs/20260622_142318_stage4_hard_s109,hard_knee,109
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.05,useful_rank,true_k_strong,48,0.5817912123970355,0.7647415982114717,0.8651963288944248,20260622_142318_stage4_hard_s109,source_runs/20260622_142318_stage4_hard_s109,hard_knee,109
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.1,useful_rank,predicted_rank_detectable,48,0.6189575546113171,0.7603238825469092,0.8031150121017132,20260622_142318_stage4_hard_s109,source_runs/20260622_142318_stage4_hard_s109,hard_knee,109
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.15,useful_rank,gradient_effective_rank,48,0.6539932632260983,0.7999985212635252,0.684397993017416,20260622_142318_stage4_hard_s109,source_runs/20260622_142318_stage4_hard_s109,hard_knee,109
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.2,useful_rank,predicted_rank_detectable,48,0.654538182837541,0.7957488220796818,0.6223303657097857,20260622_142318_stage4_hard_s109,source_runs/20260622_142318_stage4_hard_s109,hard_knee,109
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.3,useful_rank,raw_gradient_effective_rank,48,0.6218557053689765,0.8101764398076933,0.5954076554904081,20260622_142318_stage4_hard_s109,source_runs/20260622_142318_stage4_hard_s109,hard_knee,109
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.5,useful_rank,gradient_stable_rank,48,0.7641798583793609,0.8831400798582784,0.3409874351614059,20260622_142318_stage4_hard_s109,source_runs/20260622_142318_stage4_hard_s109,hard_knee,109
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.7,useful_rank,gradient_effective_rank,48,0.8039810518716924,0.8929281011471033,0.3370143726787526,20260622_142318_stage4_hard_s109,source_runs/20260622_142318_stage4_hard_s109,hard_knee,109
