experiment,seed,rep,overlap,rank,single_a_loss,single_b_loss,merge_a_loss,merge_b_loss,mean_single_loss,mean_merge_loss,merge_degradation,forgetting_merge,spectral_interference,edge_a,edge_b,detectable_rank_a,detectable_rank_b,stable_rank_a,stable_rank_b
merge,17,2,0.9,8,0.0015872403910126046,0.0015926588775671653,0.04950047934086953,0.05203130651398911,0.001589949634289885,0.05076589292742932,0.049175943293139436,0.11384234132418042,0.15507079439299368,0.8201892311528656,0.8272883098967782,6,6,2.6527303342749127,2.656337216807385
merge,17,3,0.9,8,0.0016204783658228287,0.0016178776986357573,0.06664021183690279,0.06379061707229274,0.001619178032229293,0.06521541445459776,0.06359623642236847,0.09817947655951907,0.1553690437505991,0.8195202895599984,0.815198834782714,6,6,2.6424398998584073,2.653862840269796
merge,17,4,0.9,8,0.0015817720010971542,0.0015902353541557622,0.11558714808171411,0.11394271310874458,0.0015860036776264583,0.11476493059522935,0.1131789269176029,0.05430370366908821,0.15500455647675482,0.8216901668010222,0.8239964034678862,6,6,2.659645227100343,2.6537683765146074
merge,17,5,0.9,8,0.0016513496491626664,0.0016170678177054797,0.1270752466794344,0.12745502209071286,0.001634208733434073,0.12726513438507364,0.12563092565163958,0.03539064420911841,0.15495236308801294,0.8504938539180592,0.8063946594377618,6,6,2.663054178718664,2.655889508762875
merge,17,6,0.9,8,0.0016321713157210088,0.0016096970681403356,0.089881898214604,0.09394749240275789,0.0016209341919306722,0.09191469530868095,0.09029376111675028,0.07487343018973863,0.15488779190694413,0.840812712248515,0.7993132078712407,6,6,2.663153863774573,2.6556243992158413
merge,17,7,0.9,8,0.0016008023958894889,0.0015887114789798552,0.02846800319861531,0.02796024499783805,0.0015947569374346721,0.02821412409822668,0.02661936716079201,0.13394160494476343,0.1543942326123813,0.8278090236055178,0.8045563063557978,6,6,2.66522696885103,2.6480597680549223
merge,17,0,1.0,8,0.0015911943865664015,0.0016510069398064083,0.0289263650621613,0.029123585089291054,0.001621100663186405,0.029024975075726177,0.02740387441253977,0.13431092199970643,0.19139442923873784,0.8181982222664845,0.8067581073977683,6,6,2.6519281506985033,2.6552122813222523
merge,17,1,1.0,8,0.0016152879067055815,0.0016160203717803794,0.07223359244790234,0.07152577188229231,0.0016156541392429804,0.07187968216509732,0.07026402802585434,0.09179731809852032,0.19134203173465433,0.8174722647271193,0.8055395807521597,6,6,2.663266125046145,2.6540951282934877
merge,17,2,1.0,8,0.0016115263862010554,0.0016329259143193565,0.04927720241844778,0.04794443499266835,0.0016222261502602058,0.04861081870555807,0.046988592555297866,0.1148823589443437,0.1913356208479536,0.8115506659901616,0.8321291378842193,6,6,2.6546857942752604,2.661974105104372
merge,17,3,1.0,8,0.0016133859559155164,0.0016107006039511455,0.07719770204008108,0.07789842858394837,0.001612043279933331,0.07754806531201472,0.07593602203208139,0.0853684932713086,0.19151134051942204,0.8226140753315715,0.8144834035090212,6,6,2.648094549324785,2.6555825801081765
merge,17,4,1.0,8,0.0015853597552833306,0.001614945532553849,0.10749874841613696,0.10652827967866225,0.0016001526439185898,0.10701351404739962,0.10541336140348102,0.05598698164312442,0.19132046050548596,0.8153189493996955,0.8116132988215887,6,6,2.6543510475992944,2.6577988267177615
merge,17,5,1.0,8,0.0015801042385214438,0.0016260693381848815,0.0368772756819045,0.034420096959757895,0.0016030867883531628,0.035648686320831194,0.03404559953247803,0.1270390455188697,0.19134947146961837,0.8014624357961704,0.8140154445610736,6,6,2.648132716214496,2.649863836093133
merge,17,6,1.0,8,0.0016254425767113015,0.0015966043606854478,0.06933766343928233,0.07278980270675749,0.0016110234686983747,0.07106373307301991,0.06945270960432154,0.0916869538802179,0.19119384713297036,0.8115027390309074,0.8011599533822289,6,6,2.66392597897998,2.649872965037971
merge,17,7,1.0,8,0.001590543431426746,0.0015947281539522146,0.006503517330277077,0.006448543662989134,0.0015926357926894803,0.006476030496633105,0.004883394703943625,0.15608025016296528,0.19120255334486194,0.8215987522564894,0.8174973137552441,6,6,2.657872153614519,2.658839754332145
