target,predictor,n,r2_log2_target,spearman,rmse_log2,run_dir,condition,seed
near_best_rank_gap_0.5,gradient_stable_rank,48,0.715829967408149,0.8685372560939609,0.3608941649171749,runs/20260612_173148_stage4_hard_s107,hard_knee,107
penalized_rank_lambda_0.03,true_k_strong,48,0.6869631818590796,0.7717797457242623,0.680365901672699,runs/20260612_173148_stage4_hard_s107,hard_knee,107
penalized_rank_lambda_0.05,true_k_strong,48,0.7000186595091891,0.7766769420035143,0.6541927629459379,runs/20260612_173148_stage4_hard_s107,hard_knee,107
penalized_rank_lambda_0.08,true_k_strong,48,0.7327333050849296,0.8044682881277497,0.583989245469399,runs/20260612_173148_stage4_hard_s107,hard_knee,107
penalized_rank_lambda_0.1,predicted_rank_detectable,48,0.7382322526059941,0.8247814765662481,0.5246788253434175,runs/20260612_173148_stage4_hard_s107,hard_knee,107
penalized_rank_lambda_0.15,gradient_effective_rank,48,0.6759756176940026,0.7611726623011651,0.5809693608404956,runs/20260612_173148_stage4_hard_s107,hard_knee,107
penalized_rank_lambda_0.2,predicted_rank_detectable,48,0.664027721659933,0.7639324353179807,0.5189720065834308,runs/20260612_173148_stage4_hard_s107,hard_knee,107
penalized_rank_lambda_0.3,predicted_rank_detectable,48,0.7068479766581233,0.8222082504975841,0.4256574170019816,runs/20260612_173148_stage4_hard_s107,hard_knee,107
penalized_rank_lambda_0.5,predicted_rank_detectable,48,0.8113565250945818,0.9168163663666196,0.3049782177818959,runs/20260612_173148_stage4_hard_s107,hard_knee,107
recovery_rank_0.5,predicted_rank_raw_effective,48,0.7313095952420184,0.8744868344664255,0.3776574617671288,runs/20260612_173148_stage4_hard_s107,hard_knee,107
recovery_rank_0.6,raw_gradient_effective_rank,48,0.7261341117105637,0.8478492733732615,0.3620891318480181,runs/20260612_173148_stage4_hard_s107,hard_knee,107
recovery_rank_0.7,gradient_stable_rank,47,0.7502914192821858,0.7981309421164383,0.3923805114852409,runs/20260612_173148_stage4_hard_s107,hard_knee,107
recovery_rank_0.8,true_k_strong,47,0.7461580608617027,0.840723432954964,0.4711805898153458,runs/20260612_173148_stage4_hard_s107,hard_knee,107
recovery_rank_0.85,true_k_strong,45,0.6951810837693475,0.8658727200246586,0.6461921411399455,runs/20260612_173148_stage4_hard_s107,hard_knee,107
recovery_rank_0.9,true_k_strong,40,0.6085652745769592,0.7606372707237208,0.771191374393952,runs/20260612_173148_stage4_hard_s107,hard_knee,107
recovery_rank_0.95,gradient_effective_rank,32,0.4159686643863154,0.6682375726648363,1.0219091047006932,runs/20260612_173148_stage4_hard_s107,hard_knee,107
near_best_rank_gap_0.02,true_k_strong,48,0.4863920151735085,0.7229928291638866,1.049711490827143,runs/20260612_181259_stage4_hard_s109,hard_knee,109
