condition,target,predictor,n_runs,mean_r2,sem_r2,mean_spearman,sem_spearman,mean_rmse_log2
hard_knee,penalized_rank_lambda_0.2,whitened_gradient_effective_rank,5,0.712361370118216,0.03816948993610476,0.797156010989359,0.028809416513010302,0.5857671576252008
hard_knee,penalized_rank_lambda_0.2,predicted_rank_detectable,5,0.708878473271567,0.025019103356366933,0.7923916268269515,0.01658654528574027,0.5961031529099371
hard_knee,penalized_rank_lambda_0.2,predicted_rank_whitened_detectable,5,0.708878473271567,0.025019103356366933,0.7923916268269515,0.01658654528574027,0.5961031529099371
hard_knee,penalized_rank_lambda_0.2,gradient_detectable_rank,5,0.7040785848599465,0.03693186160370136,0.7888165946452439,0.030321246901146345,0.5953388418121585
hard_knee,penalized_rank_lambda_0.2,whitened_gradient_detectable_rank,5,0.7040785848599465,0.03693186160370136,0.7888165946452439,0.030321246901146345,0.5953388418121585
hard_knee,penalized_rank_lambda_0.2,true_k_strong,5,0.6965191869931467,0.03652365200383729,0.7811318788196148,0.028629578079885955,0.6035434088169693
hard_knee,penalized_rank_lambda_0.2,raw_gradient_effective_rank,5,0.6662890162516125,0.039287705504793075,0.7658832601810841,0.03074111522067039,0.6327777206367218
hard_knee,penalized_rank_lambda_0.2,predicted_rank_whitened_effective,5,0.6163501869157676,0.03263782582978123,0.7486706691559684,0.01782211071446028,0.6845678724559008
hard_knee,penalized_rank_lambda_0.2,raw_gradient_detectable_rank,5,0.5585024249549205,0.052542228631626074,0.6732667505836656,0.04486098098326629,0.7271706735431527
hard_knee,penalized_rank_lambda_0.2,predicted_rank_raw_detectable,5,0.5469757633172525,0.04225605542175414,0.6891189172643412,0.03752749047309704,0.7403295187695684
hard_knee,penalized_rank_lambda_0.2,predicted_rank_raw_effective,5,0.5299200517904451,0.03825267984308969,0.7030233742846619,0.03425637130659461,0.7570397066530447
hard_knee,penalized_rank_lambda_0.3,gradient_effective_rank,5,0.7135625685660991,0.037368661112079704,0.8080187633506031,0.02303668528561233,0.5306418299885628
hard_knee,penalized_rank_lambda_0.3,whitened_gradient_effective_rank,5,0.7135625685660991,0.037368661112079704,0.8080187633506031,0.02303668528561233,0.5306418299885628
hard_knee,penalized_rank_lambda_0.3,predicted_rank_detectable,5,0.7095831827092551,0.03359549737401022,0.8092862541989971,0.022990353187142588,0.5373885058954899
hard_knee,penalized_rank_lambda_0.3,predicted_rank_whitened_detectable,5,0.7095831827092551,0.03359549737401022,0.8092862541989971,0.022990353187142588,0.5373885058954899
hard_knee,penalized_rank_lambda_0.3,gradient_detectable_rank,5,0.7009192946464881,0.035863158035623115,0.7951652306779466,0.024537986929027644,0.5435145208751
hard_knee,penalized_rank_lambda_0.3,whitened_gradient_detectable_rank,5,0.7009192946464881,0.035863158035623115,0.7951652306779466,0.024537986929027644,0.5435145208751
hard_knee,penalized_rank_lambda_0.3,true_k_strong,5,0.6940399500320437,0.03808802815253522,0.7892279844750749,0.02647778020937452,0.5495308833681948
hard_knee,penalized_rank_lambda_0.3,raw_gradient_effective_rank,5,0.6856450480487581,0.03609496444128142,0.7982505616055138,0.022187242675279426,0.558514451715169
hard_knee,penalized_rank_lambda_0.3,predicted_rank_whitened_effective,5,0.6149966658358752,0.04134604676011746,0.760525960571311,0.023776450077497648,0.6190594804458706
hard_knee,penalized_rank_lambda_0.3,raw_gradient_detectable_rank,5,0.5767769449316755,0.043594884305322996,0.6938920655392001,0.031574843142366936,0.6488851792616146
hard_knee,penalized_rank_lambda_0.3,predicted_rank_raw_detectable,5,0.5615138954177326,0.0381191226003936,0.7044404597812232,0.028848322104455287,0.6633093828061768
hard_knee,penalized_rank_lambda_0.3,predicted_rank_raw_effective,5,0.5459150309405063,0.04217859288388573,0.7264197003389994,0.03190010253915448,0.6749465448336497
hard_knee,recovery_rank_0.7,gradient_effective_rank,5,0.7621674194108728,0.0308533883044232,0.8556953772031815,0.017143408115355033,0.46173711895361735
hard_knee,recovery_rank_0.7,whitened_gradient_effective_rank,5,0.7621674194108728,0.0308533883044232,0.8556953772031815,0.017143408115355033,0.46173711895361735
hard_knee,recovery_rank_0.7,gradient_detectable_rank,5,0.7452987923215662,0.03694102432106822,0.8464632703675458,0.023436238163553186,0.4761689681460074
hard_knee,recovery_rank_0.7,whitened_gradient_detectable_rank,5,0.7452987923215662,0.03694102432106822,0.8464632703675458,0.023436238163553186,0.4761689681460074
hard_knee,recovery_rank_0.7,true_k_strong,5,0.734885241729712,0.0374483733688,0.832415755042995,0.02772887180498802,0.48551062000682393
hard_knee,recovery_rank_0.7,raw_gradient_effective_rank,5,0.7337927001102462,0.029275254412579572,0.8331035574210137,0.025389260512072857,0.4891163876487351
hard_knee,recovery_rank_0.7,predicted_rank_detectable,5,0.6810363106863855,0.036647496555541975,0.8005991328704217,0.028096188347416035,0.5369193446888026
hard_knee,recovery_rank_0.7,predicted_rank_whitened_detectable,5,0.6810363106863855,0.036647496555541975,0.8005991328704217,0.028096188347416035,0.5369193446888026
hard_knee,recovery_rank_0.7,predicted_rank_whitened_effective,5,0.617179929244432,0.04836218840608066,0.7582568804193046,0.040368042999326954,0.5853785377297192
