task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,comparison_role,is_primary_allocation_rule,budget,n_adaptation_replicates,actual_cost,requested_budget,final_val_loss,final_val_accuracy,diverged_count
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,1536,3,1472.0,1536.0,0.006489463868395666,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,2048,3,2048.0,2048.0,0.0032940390034733335,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,3072,3,3072.0,3072.0,0.0020371868934792336,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,4096,3,4096.0,4096.0,0.0013958097988506335,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,6144,3,6144.0,6144.0,0.0009115934299187999,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,cap_baseline,False,512,3,0.0,512.0,11.092491110165914,0.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,cap_baseline,False,1024,3,0.0,1024.0,11.09502915541331,0.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,cap_baseline,False,1536,3,1408.0,1536.0,0.010215401203216299,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,cap_baseline,False,2048,3,1408.0,2048.0,0.010029731318354567,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,cap_baseline,False,3072,3,2816.0,3072.0,0.0025187683398446665,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,cap_baseline,False,4096,3,2816.0,4096.0,0.0023338945854144,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,cap_baseline,False,6144,3,5632.0,6144.0,0.0010917455801972666,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_exact_cost__1024,uniform_exact_cost__1024,uniform_exact_cost,exact_cost_baseline,False,1024,3,1024.0,1024.0,0.029051048293088837,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_exact_cost__1472,uniform_exact_cost__1472,uniform_exact_cost,exact_cost_baseline,False,1536,3,1472.0,1536.0,0.007033040067957033,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_exact_cost__1536,uniform_exact_cost__1536,uniform_exact_cost,exact_cost_baseline,False,1536,3,1536.0,1536.0,0.0062952642135011,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_exact_cost__2048,uniform_exact_cost__2048,uniform_exact_cost,exact_cost_baseline,False,2048,3,2048.0,2048.0,0.004400855066099434,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_exact_cost__3072,uniform_exact_cost__3072,uniform_exact_cost,exact_cost_baseline,False,3072,3,3072.0,3072.0,0.0021148212205540666,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_exact_cost__4096,uniform_exact_cost__4096,uniform_exact_cost,exact_cost_baseline,False,4096,3,4096.0,4096.0,0.0015294509018227668,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_exact_cost__512,uniform_exact_cost__512,uniform_exact_cost,exact_cost_baseline,False,512,3,512.0,512.0,0.1837682525316874,0.9573567708333334,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform_exact_cost__6144,uniform_exact_cost__6144,uniform_exact_cost,exact_cost_baseline,False,6144,3,6144.0,6144.0,0.0009785649672266667,1.0,0
