task_family,run,seed,scaling_mode,budget,adaptation_replicate,condition_id,rule,allocation_rule,comparison_role,is_primary_allocation_rule,loss_delta_vs_uniform_fill,acc_delta_vs_uniform_fill,loss_ratio_vs_uniform_fill,actual_cost,uniform_fill_cost,cost_gap_vs_uniform_fill
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,1,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.016327073099091705,0.0,0.5261845948476876,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,1,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.019419671036303102,0.0,0.4364366935735431,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.020655576954595804,0.0,0.40057042043003804,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.013630418339744203,0.0,0.6044421343099952,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,1,uniform,uniform,uniform,cap_baseline,False,11.062183988280593,-1.0,336.52818539615504,0,1024,-1024
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,1,effective_rank,effective_rank,effective_rank,candidate,False,-0.020973848528228797,0.0,0.3638401472163324,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,1,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.020973848528228797,0.0,0.3638401472163324,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,1,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.0233223455725238,0.0,0.2926076534777237,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.0253069945028984,0.0,0.23241107249855378,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.012919037370011297,0.0,0.6081514129201576,1024,1024,0
