task_family,run,seed,scaling_mode,budget,best_loss_condition_id,best_loss_rule,best_loss,best_accuracy_condition_id,best_accuracy_rule,best_accuracy
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,standard,1024,gradient_norm,gradient_norm,0.011050459734785,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,standard,1536,gradient_norm,gradient_norm,0.0036507860932033,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,standard,2048,marginal_gain_edge,marginal_gain_edge,0.0023278861481230337,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,standard,3072,marginal_gain_edge,marginal_gain_edge,0.0012288106809136667,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,standard,4096,marginal_gain_soft,marginal_gain_soft,0.0011372863082214667,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,standard,6144,gradient_norm,gradient_norm,0.0009357245774784333,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,512,marginal_gain_edge,marginal_gain_edge,0.36348307381073636,marginal_gain_edge,marginal_gain_edge,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,1024,marginal_gain_edge,marginal_gain_edge,0.019785325353344235,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,1536,marginal_gain_edge,marginal_gain_edge,0.0048001687197635,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,2048,gradient_norm,gradient_norm,0.0032669924160775667,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,3072,marginal_gain_edge,marginal_gain_edge,0.0014673975238110332,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,4096,gradient_norm,gradient_norm,0.0012008725364769668,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,6144,gradient_norm,gradient_norm,0.0008748934803103001,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,rslora,512,marginal_gain_edge,marginal_gain_edge,0.40406083812316257,marginal_gain_edge,marginal_gain_edge,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,rslora,1024,effective_rank,effective_rank,0.0175641390572612,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,rslora,1536,marginal_gain_soft,marginal_gain_soft,0.0046406057081184665,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,rslora,2048,gradient_norm,gradient_norm,0.002644596737809433,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,rslora,3072,gradient_norm,gradient_norm,0.0014506511506624,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,rslora,4096,gradient_norm,gradient_norm,0.0012905037971601,effective_rank,effective_rank,1.0
