task_family,run,seed,scaling_mode,budget,adaptation_replicate,condition_id,rule,allocation_rule,is_primary_allocation_rule,matched_baseline_condition_id,actual_cost,exact_uniform_cost,loss_delta_vs_exact_uniform,acc_delta_vs_exact_uniform
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,0,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1024,1024,1024,-0.0154248918406665,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1024,1024,1024,-0.007282542064785898,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1024,1024,1024,-0.0022529033012687986,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,1,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1024,1024,1024,-0.016327073099091705,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,1,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1024,1024,1024,-0.016327073099091705,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,1,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1024,1024,1024,-0.019419671036303102,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1024,1024,1024,-0.020655576954595804,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1024,1024,1024,-0.013630418339744203,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,1,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1024,1024,1024,-0.020973848528228797,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,1,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1024,1024,1024,-0.020973848528228797,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,1,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1024,1024,1024,-0.0233223455725238,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1024,1024,1024,-0.0253069945028984,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1024,1024,1024,-0.012919037370011297,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,1,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1024,1024,1024,-0.0089331900235266,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,1,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1024,1024,1024,-0.0089331900235266,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,1,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1024,1024,1024,-0.0111838934244588,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1024,1024,1024,-0.0132056461879984,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1024,1024,1024,-0.0032983161509037018,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,2,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1024,1024,1024,-0.020354706794023597,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,2,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1024,1024,1024,-0.020354706794023597,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,2,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1024,1024,1024,-0.0271636511897669,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1024,1024,1024,-0.0265248132636771,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1024,1024,1024,-0.019365825457498497,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,2,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1024,1024,1024,-0.023615207290276902,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,2,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1024,1024,1024,-0.023615207290276902,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,2,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1024,1024,1024,-0.026546755456365603,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1024,1024,1024,-0.023721698671579403,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1024,1024,1024,-0.012692829128354802,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,2,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1024,1024,1024,-0.022074380889535002,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,2,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1024,1024,1024,-0.022074380889535002,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,2,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1024,1024,1024,-0.023586578201502603,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1024,1024,1024,-0.021312592783942902,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1024,1024,1024,-0.013517919229343603,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,0,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1472,1472,1472,-0.0019486476667224997,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,0,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1472,1472,1472,-0.0019486476667224997,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,0,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1536,1536,1536,-0.0015720268711448002,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1472,1472,1472,-0.0030396305955946003,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1536,1536,1536,-0.001628301339224,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,0,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1472,1472,1472,-0.0020397246116772997,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,0,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1472,1472,1472,-0.0020397246116772997,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,0,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1536,1536,1536,0.0003347592137289005,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1472,1472,1472,-0.0011838204227387992,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1536,1536,1536,0.0009072115935851001,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,0,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1472,1472,1472,-0.00014934339560570067,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,0,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1472,1472,1472,-0.00014934339560570067,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,0,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1536,1536,1536,-7.090246072039962e-05,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1472,1472,1472,-0.0004246709286235004,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1536,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1536,1536,1536,8.37396946736001e-05,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,1,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1472,1472,1472,-0.0016393004916607987,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,1,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1472,1472,1472,-0.0016393004916607987,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,1,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1536,1536,1536,-0.0013305631582624993,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1472,1472,1472,-0.0024587127263656994,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1536,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1536,1536,1536,-0.0001754687982610994,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1536,1,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1472,1472,1472,-9.429303463549983e-05,0.0
