task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,budget,n_adaptation_replicates,loss_delta_vs_uniform_fill,acc_delta_vs_uniform_fill,actual_cost,reference_cost,cost_gap
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,3072,3,-0.0008101755811367335,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,4096,3,-0.0005094764443735333,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6144,3,-0.00021391683549156672,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,512,3,-0.09376544132828714,0.0029296875,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1024,3,-0.0063563795605053675,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1536,3,-0.004604836169164634,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,2048,3,-0.0015250321303028665,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,3072,3,-0.0008101755811367335,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,4096,3,-0.0005089488016286333,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6144,3,-0.00010287113400410006,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,512,3,-0.1785916512211164,-0.039713541666666664,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,1024,3,-0.0139168757790079,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,1536,3,-0.0041129766420151,0.0,1472.0,1536.0,-64.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,2048,3,-0.0017058998346329002,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,3072,3,-0.00033267785329373333,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,4096,3,-0.00038278968713713335,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,6144,3,-0.00014426512886230004,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,False,512,3,10.73013120641311,-0.9970703125,0.0,512.0,-512.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,False,1024,3,11.065978107120221,-1.0,0.0,1024.0,-1024.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,False,1536,3,-0.0003870393071944668,0.0,1408.0,1536.0,-128.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,False,2048,3,0.005029792480248333,0.0,1408.0,2048.0,-640.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,uniform,uniform,uniform,False,3072,3,0.00014890359307169988,0.0,2816.0,3072.0,-256.0
