task_family,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,budget,n_independent_runs,mean_loss_delta,sem_loss_delta,median_loss_delta,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,exact_sign_flip_p_two_sided,run_wins_loss,run_ties_loss,mean_accuracy_delta,sem_accuracy_delta
associative_recall,standard,gradient_norm,gradient_norm,gradient_norm,False,3072,5,-0.00043241068584999327,4.3941940259709215e-05,-0.0004509893721357666,-0.0005091377291440199,-0.00035568364255596674,0.0625,5,0,0.0,0.0
associative_recall,standard,gradient_norm,gradient_norm,gradient_norm,False,4096,5,-0.00012662770071378672,5.481201883840777e-05,-7.181687882013336e-05,-0.00023198868439069337,-5.1205295797760094e-05,0.0625,5,0,0.0,0.0
associative_recall,standard,gradient_norm,gradient_norm,gradient_norm,False,6144,5,-0.0001257847514352734,2.0936300319724863e-05,-0.00011438536845770006,-0.0001617645621687801,-9.213538432961334e-05,0.0625,5,0,0.0,0.0
associative_recall,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,512,5,0.05668778568506242,0.03269701023436153,0.09141335574289165,-0.0011694341897964533,0.10955518993238608,0.1875,1,0,0.032421875,0.017154855263427842
associative_recall,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1024,5,-0.35832042876087755,0.19185079013033496,-0.178055665960225,-0.7252623101269517,-0.048569397442042854,0.0625,5,0,0.11940104166666665,0.06886003724126406
associative_recall,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1536,5,-0.009894317728079234,0.004116903851198566,-0.008854355342919033,-0.017236125399358572,-0.003059715791217353,0.0625,5,0,6.510416666666667e-05,6.510416666666667e-05
associative_recall,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,2048,5,-0.0028782027007158133,0.00204089660806499,-0.0009470713460662667,-0.006996411407211166,-0.00066727000424482,0.0625,5,0,0.0,0.0
associative_recall,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,3072,5,-0.0004884015206092334,5.723486713381955e-05,-0.00048112591806180003,-0.0005866052039588666,-0.0003845959242122667,0.0625,5,0,0.0,0.0
associative_recall,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,4096,5,-6.915300230806003e-05,5.007821203529907e-05,-7.577847767003339e-05,-0.00015973510550490667,2.10867777544533e-05,0.25,4,0,0.0,0.0
associative_recall,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6144,5,-0.00010139338555748004,3.559207512775967e-05,-8.012788263543336e-05,-0.00016825306277802008,-4.500877742734e-05,0.0625,5,0,0.0,0.0
associative_recall,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,512,5,0.05668778568506242,0.03269701023436153,0.09141335574289165,-0.007153149073322608,0.10955518993238608,0.1875,1,0,0.032421875,0.017154855263427842
associative_recall,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1024,5,-0.35611989825653534,0.19281202663042943,-0.178055665960225,-0.7210756826447324,-0.044168336433358504,0.0625,5,0,0.11940104166666665,0.06886003724126406
associative_recall,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1536,5,-0.009451238636393095,0.004399703453879167,-0.009288696775911367,-0.01715119674336165,-0.0020866893212466062,0.125,4,0,6.510416666666667e-05,6.510416666666667e-05
